Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Hits,Shots_blocked,Penalties_against,R,T1_Profile,T1_Year,T1_Goals,T1_Assists,T1_Plus,T1_Minus,T1_Penalties,T1_Shots,T1_Hits,T1_Shots_blocked,T1_Penalties_against,T1_R,predict
https://en.khl.ru/players/13964/,2015/2016,2,9,10,13,2,35,17.0,6.0,6.0,1.5641772734243211,https://en.khl.ru/players/13964/,2016/2017,6.0,14.0,27.0,19.0,18.0,49.0,48.0,16.0,10.0,1.98019801980198,1.6456074124778732
https://en.khl.ru/players/13964/,2016/2017,6,14,27,19,18,49,48.0,16.0,10.0,1.98019801980198,https://en.khl.ru/players/13964/,2017/2018,9.0,18.0,30.0,22.0,24.0,81.0,32.0,18.0,7.0,2.4301336573511545,1.9494402683604592
https://en.khl.ru/players/13964/,2017/2018,9,18,30,22,24,81,32.0,18.0,7.0,2.4301336573511545,https://en.khl.ru/players/13964/,2018/2019,8.0,14.0,19.0,12.0,12.0,56.0,26.0,26.0,7.0,2.68289231640017,2.0199166922913405
https://en.khl.ru/players/13964/,2018/2019,8,14,19,12,12,56,26.0,26.0,7.0,2.68289231640017,https://en.khl.ru/players/13964/,2019/2020,3.0,7.0,15.0,15.0,14.0,28.0,15.0,21.0,4.0,1.6469745793054065,1.6285839398501534
https://en.khl.ru/players/13964/,2019/2020,3,7,15,15,14,28,15.0,21.0,4.0,1.6469745793054065,https://en.khl.ru/players/13964/,2020/2021,8.0,9.0,21.0,19.0,6.0,39.0,12.0,26.0,3.0,2.057735894071335,1.4867090122914883
https://en.khl.ru/players/14148/,2014/2015,6,6,17,13,20,46,23.0,15.0,13.0,2.2867337009406423,https://en.khl.ru/players/14148/,2015/2016,1.0,4.0,12.0,8.0,8.0,29.0,15.0,12.0,10.0,1.4652352209371975,1.5372785842402106
https://en.khl.ru/players/14148/,2015/2016,1,4,12,8,8,29,15.0,12.0,10.0,1.4652352209371975,https://en.khl.ru/players/14148/,2016/2017,8.0,5.0,14.0,11.0,14.0,86.0,38.0,14.0,15.0,1.5598493026944853,1.708919900671298
https://en.khl.ru/players/14148/,2016/2017,8,5,14,11,14,86,38.0,14.0,15.0,1.5598493026944853,https://en.khl.ru/players/14148/,2017/2018,13.0,13.0,22.0,26.0,8.0,103.0,54.0,22.0,9.0,2.224513263809033,1.9590092510996926
https://en.khl.ru/players/14148/,2017/2018,13,13,22,26,8,103,54.0,22.0,9.0,2.224513263809033,https://en.khl.ru/players/14148/,2018/2019,4.0,6.0,9.0,15.0,6.0,50.0,34.0,9.0,7.0,1.2055268770671694,1.738578558030741
https://en.khl.ru/players/14148/,2018/2019,4,6,9,15,6,50,34.0,9.0,7.0,1.2055268770671694,https://en.khl.ru/players/14148/,2019/2020,6.0,11.0,17.0,20.0,14.0,96.0,39.0,19.0,10.0,1.7193159414974095,1.7438689732159351
https://en.khl.ru/players/14148/,2019/2020,6,11,17,20,14,96,39.0,19.0,10.0,1.7193159414974095,https://en.khl.ru/players/14148/,2020/2021,10.0,14.0,29.0,33.0,4.0,103.0,22.0,20.0,12.0,2.2422510441855352,2.1190142077517455
